epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,4110.82,0.58016,0.41036,0.96495,0.78669,0.65974,0.7224,0.60009,0.76324,1.08505,1.07176,0.000280723,0.000280723,0.000280723
86,4163.44,0.57608,0.40842,0.96027,0.77292,0.66189,0.71894,0.59588,0.76647,1.09842,1.07567,0.00026422,0.00026422,0.00026422
87,4216.21,0.57786,0.41106,0.95771,0.77839,0.66176,0.72047,0.5988,0.76754,1.08004,1.07704,0.000247716,0.000247716,0.000247716
88,4268.86,0.57176,0.40333,0.96171,0.75989,0.67861,0.725,0.59964,0.76953,1.07326,1.07863,0.000231213,0.000231213,0.000231213
89,4321.58,0.56585,0.40002,0.95767,0.76901,0.66578,0.72594,0.60314,0.77126,1.09804,1.08222,0.00021471,0.00021471,0.00021471
90,4373.07,0.56746,0.4016,0.95702,0.76403,0.66257,0.71937,0.59946,0.76891,1.1016,1.07933,0.000198206,0.000198206,0.000198206
91,4433.8,0.47245,0.28598,0.88759,0.76066,0.67607,0.72129,0.6009,0.77492,1.09555,1.08274,0.000181703,0.000181703,0.000181703
92,4477.82,0.45384,0.27246,0.88019,0.77548,0.66971,0.73065,0.6084,0.76809,1.10331,1.07699,0.0001652,0.0001652,0.0001652
93,4523.24,0.4427,0.26416,0.87124,0.76972,0.6683,0.73755,0.61552,0.77244,1.10658,1.08113,0.000148696,0.000148696,0.000148696
94,4567.82,0.44223,0.26349,0.87315,0.75685,0.67585,0.73488,0.61413,0.76693,1.11303,1.07667,0.000132193,0.000132193,0.000132193
95,4612.42,0.43547,0.25862,0.87209,0.77975,0.66236,0.734,0.61362,0.76543,1.1082,1.07519,0.00011569,0.00011569,0.00011569
96,4656.82,0.42792,0.25496,0.86753,0.74397,0.68967,0.7412,0.61787,0.76921,1.09251,1.07943,9.91865e-05,9.91865e-05,9.91865e-05
97,4701.21,0.42417,0.25331,0.86323,0.76175,0.67342,0.73856,0.61563,0.76807,1.09686,1.08054,8.26832e-05,8.26832e-05,8.26832e-05
98,4745.81,0.41861,0.24953,0.86177,0.7651,0.67414,0.74104,0.61903,0.76614,1.10079,1.08013,6.61799e-05,6.61799e-05,6.61799e-05
99,4790.31,0.41518,0.24724,0.85965,0.77771,0.66719,0.74233,0.62011,0.7644,1.0907,1.07748,4.96766e-05,4.96766e-05,4.96766e-05
100,4834.85,0.41373,0.24558,0.86217,0.78292,0.6675,0.74221,0.62061,0.76529,1.09663,1.07794,3.31733e-05,3.31733e-05,3.31733e-05
